City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nalut,30.3333,10.85,34.39,11,50,5.16,LY,1718057958
1,port-aux-francais,-49.35,70.2167,4.88,79,100,21.1,TF,1718057833
2,puerto natales,-51.7236,-72.4875,1.12,97,100,1.28,CL,1718057842
3,harda khas,22.3333,77.1,33.22,40,100,0.56,IN,1718057959
4,waitangi,-43.9535,-176.5597,10.46,95,100,0.45,NZ,1718057839
5,labrador city,52.9463,-66.9114,16.95,63,75,7.6,CA,1718057864
6,the pas,53.8251,-101.2541,19.01,45,75,4.63,CA,1718057959
7,tofol,5.3248,163.0078,29.88,74,75,3.09,FM,1718057903
8,codrington,-38.2667,141.9667,14.49,67,100,11.72,AU,1718057833
9,spassk,52.747,87.7545,15.42,85,100,0.89,RU,1718057959
10,crane,31.3974,-102.3501,32.63,33,0,1.37,US,1718057641
11,tralee,52.2704,-9.7026,9.29,87,72,1.75,IE,1718057886
12,east london,-33.0153,27.9116,16.59,51,0,3.41,ZA,1718057620
13,atafu village,-8.5421,-172.5159,28.77,76,34,5.56,TK,1718057862
14,college,64.8569,-147.8028,21.97,52,75,1.54,US,1718057839
15,port elizabeth,-33.918,25.5701,14.62,83,0,1.03,ZA,1718057862
16,acapulco de juarez,16.8634,-99.8901,29.9,66,75,7.2,MX,1718057960
17,port mathurin,-19.6833,63.4167,24.34,72,56,9.48,MU,1718057836
18,bilibino,68.0546,166.4372,11.72,54,100,0.95,RU,1718057841
19,lompoc,34.6391,-120.4579,27.79,77,0,6.69,US,1718057854
20,adamstown,-25.066,-130.1015,22.64,81,100,7.45,PN,1718057836
21,uttarkashi,30.7333,78.45,18.07,30,0,2.73,IN,1718057961
22,wamba,8.9333,8.6,24.46,83,67,1.11,NG,1718057961
23,el-tor,28.2364,33.6254,26.08,78,0,6.69,EG,1718057961
24,port shepstone,-30.7414,30.455,15.52,65,0,3.66,ZA,1718057961
25,puerto ayora,-0.7393,-90.3518,29.98,93,43,1.79,EC,1718057850
26,san juan del sur,11.2529,-85.8705,28.59,73,100,3.23,NI,1718057961
27,sinjai,-5.1241,120.253,25.31,84,100,1.69,ID,1718057961
28,blackmans bay,-43.0167,147.3167,12.07,90,100,0.89,AU,1718057837
29,dibba al-hisn,25.6196,56.2729,30.1,46,0,1.04,AE,1718057962
30,zainsk,55.3195,52.0694,19.6,82,25,2.64,RU,1718057962
31,khash,28.2211,61.2158,24.93,12,0,2.03,IR,1718057962
32,funadhoo,6.15,73.2667,28.31,79,90,7.23,MV,1718057962
33,vorgashor,67.5833,63.95,2.11,96,98,1.65,RU,1718057839
34,kaspiyskiy,45.3929,47.3707,23.4,61,60,4.08,RU,1718057962
35,happy valley-goose bay,53.3168,-60.3315,19.17,52,75,6.69,CA,1718057856
36,chela,34.069,104.4619,8.09,68,93,2.48,CN,1718057963
37,abatskoye,56.2875,70.4555,12.67,97,100,4.44,RU,1718057963
38,larkird,35.4894,66.6641,15.31,40,0,0.77,AF,1718057963
39,abepura,-2.6333,140.5833,24.45,100,40,0.51,ID,1718057963
40,altay,47.8667,88.1167,16.13,51,59,1.7,CN,1718057963
41,margaret river,-33.95,115.0667,15.1,63,100,4.47,AU,1718057840
42,lebu,-37.6167,-73.65,12.62,90,100,11.14,CL,1718057726
